Term,P-value,Adjusted P-value,Combined Score,Genes,Library
Arsenic Metabolism And Reactive Oxygen Species Generation WP5233,0.027165344857992397,0.15819242340052905,146.73452100035948,ATP1A1,WikiPathway_2023_Human
IDO Metabolic Pathway WP5414,0.027165344857992397,0.15819242340052905,146.73452100035948,GOT2,WikiPathway_2023_Human
Alanine And Aspartate Metabolism WP106,0.029598761568907096,0.15819242340052905,130.2147194065139,GOT2,WikiPathway_2023_Human
Diseases Of Mismatch Repair (MMR) R-HSA-5423599,0.012438777192772534,0.25615143882560154,446.4379351400606,PMS2,Reactome_2022
Activation Of C3 And C5 R-HSA-174577,0.014908284799373634,0.25615143882560154,342.3895623444841,C3,Reactome_2022
Synthesis Of Wybutosine At G37 Of tRNA(Phe) R-HSA-6782861,0.014908284799373634,0.25615143882560154,342.3895623444841,TYW1,Reactome_2022
"Phenylalanine, tyrosine and tryptophan biosynthesis",0.014908284799373634,0.35201953379775897,342.3895623444841,GOT2,KEGG_2021_Human
Proximal tubule bicarbonate reclamation,0.05597578058787951,0.35201953379775897,53.29235549319145,ATP1A1,KEGG_2021_Human
Protein export,0.05597578058787951,0.35201953379775897,53.29235549319145,SRPRB,KEGG_2021_Human
Mismatch repair,0.05597578058787951,0.35201953379775897,53.29235549319145,PMS2,KEGG_2021_Human
Arginine biosynthesis,0.05360719859925478,0.35201953379775897,56.67024999786951,GOT2,KEGG_2021_Human
Phenylalanine metabolism,0.04167665479123348,0.35201953379775897,80.79916728086499,GOT2,KEGG_2021_Human
Selenocompound metabolism,0.04167665479123348,0.35201953379775897,80.79916728086499,PAPSS1,KEGG_2021_Human
Herpes simplex virus 1 infection,0.03555791814513759,0.35201953379775897,11.426992083136296,C3;ZNF649;EIF2AK4;ZNF552,KEGG_2021_Human
Sulfur metabolism,0.02472594881725805,0.35201953379775897,167.3010120823387,PAPSS1,KEGG_2021_Human
Shigellosis,0.023572132192873366,0.35201953379775897,19.399981318373513,C3;UBE2V1;SEPTIN11,KEGG_2021_Human
Spermatogenesis,0.2875606166970605,0.39536815575105444,3.7613629045399737,IFT88,MSigDB_Hallmark_2020
Unfolded Protein Response,0.2469691364760274,0.39536815575105444,5.055262825364014,SRPRB,MSigDB_Hallmark_2020
Protein Secretion,0.2140587201245348,0.39536815575105444,6.5749903239841245,ATP1A1,MSigDB_Hallmark_2020
Myc Targets V2,0.13531385173981347,0.39536815575105444,14.246025949065045,TCOF1,MSigDB_Hallmark_2020
Coagulation,0.04668479582524246,0.39536815575105444,18.60195102232164,C3;CRIP2,MSigDB_Hallmark_2020
IL-2/STAT5 Signaling,0.08848582523399792,0.39536815575105444,10.130986600028606,ITGAE;COCH,MSigDB_Hallmark_2020
Angiogenesis,0.08624372197430759,0.39536815575105444,28.456712045041098,PGLYRP1,MSigDB_Hallmark_2020
UV Response Up,0.3277037968552589,0.39536815575105444,2.8703970097526006,FOSB,MSigDB_Hallmark_2020
Pancreas Beta Cells,0.09536409657552716,0.39536815575105444,24.485561288951835,SRPRB,MSigDB_Hallmark_2020
Apoptosis,0.33277361941321715,0.39536815575105444,2.7773973646136283,SPTAN1,MSigDB_Hallmark_2020
